App Name,Frequency of Use,Satisfaction Rating,What Do You Like Most?,Likelihood to Recommend,Fraud Concerns,App Improvement,Safe to Use,Data Handling,Unsolicited Messages,Comments/Suggestions
Facebook,Weekly,2,Features,1,Unexplained data collection,Security,Not Sure,No,"No, never",No comments
Quizlet,Weekly,5,Customer Support,4,Frequent crashes or slow performance,User Interface,No,Not Sure,"No, never",No comments
Evernote,Weekly,3,Ease of use,5,None,User Interface,Not Sure,No,"Yes, regularly",No comments
Hulu,Never,1,Customer Support,2,Frequent crashes or slow performance,Customer Support,No,No,"Yes, occasionally",No comments
Skype,Weekly,2,Features,2,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, occasionally",No comments
Flipboard,Daily,4,Speed/Performance,4,Unexplained data collection,Bug Fixes,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
The New York Times,Weekly,5,Speed/Performance,2,Inconsistent behavior across devices,Speed/Performance,Not Sure,No,"Yes, occasionally",No comments
Duolingo,Daily,1,Features,2,Suspicious permissions request,Speed/Performance,Yes,Not Sure,"No, never",No comments
Signal,Weekly,4,Ease of use,2,Unexplained data collection,Bug Fixes,No,Yes,"Yes, occasionally",No comments
Signal,Never,5,Design/UI,1,Unexplained data collection,Features,Yes,Not Sure,"Yes, occasionally",No comments
BBC News,Never,2,Ease of use,2,Suspicious permissions request,Bug Fixes,Yes,Yes,"Yes, regularly",Suggestions for improvement
YouTube,Daily,5,Speed/Performance,3,None,Security,Not Sure,No,"Yes, regularly",No comments
Facebook,Monthly,1,Ease of use,5,Unexplained data collection,Speed/Performance,No,Not Sure,"Yes, occasionally",No comments
Clash of Clans,Weekly,2,Speed/Performance,2,Unexplained data collection,Features,Not Sure,Yes,"Yes, occasionally",No comments
Trello,Monthly,4,Ease of use,3,Unexplained data collection,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Among Us,Monthly,5,Speed/Performance,1,Suspicious permissions request,Security,Yes,Yes,"No, never",No comments
Candy Crush Saga,Rarely,2,Ease of use,5,Suspicious permissions request,Speed/Performance,Not Sure,Yes,"No, never",No comments
Clash of Clans,Weekly,3,Customer Support,1,Unexplained data collection,Speed/Performance,No,Yes,"No, never",No comments
Duolingo,Weekly,3,Speed/Performance,2,Frequent crashes or slow performance,Customer Support,Yes,Yes,"No, never",No comments
Clash of Clans,Weekly,5,Features,5,None,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
Google Docs,Monthly,4,Speed/Performance,2,Unexplained data collection,Customer Support,Yes,Yes,"No, never",No comments
Signal,Monthly,2,Ease of use,4,Unexplained data collection,Features,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Coursera,Rarely,4,Ease of use,4,Inconsistent behavior across devices,Features,Yes,Not Sure,"No, never",No comments
Khan Academy,Daily,5,Customer Support,3,Frequent crashes or slow performance,Speed/Performance,Yes,No,"No, never",No comments
Fitbit,Daily,5,Customer Support,4,Unexplained data collection,Security,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Coursera,Daily,3,Features,5,Unexplained data collection,Security,Not Sure,No,"No, never",No comments
Candy Crush Saga,Weekly,2,Features,2,Unexplained data collection,User Interface,Not Sure,Not Sure,"Yes, regularly",No comments
Quizlet,Weekly,4,Customer Support,2,Frequent crashes or slow performance,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
Disney+,Monthly,5,Customer Support,4,Inconsistent behavior across devices,Bug Fixes,No,Not Sure,"Yes, regularly",No comments
Microsoft Word,Daily,1,Features,4,Inconsistent behavior across devices,Speed/Performance,Yes,No,"No, never",No comments
CNN,Monthly,5,Design/UI,2,Inconsistent behavior across devices,Speed/Performance,Not Sure,Not Sure,"Yes, occasionally",No comments
Instagram,Weekly,4,Speed/Performance,2,None,Features,Not Sure,No,"No, never",Suggestions for improvement
Instagram,Daily,1,Customer Support,2,Frequent crashes or slow performance,Customer Support,No,Yes,"Yes, regularly",Suggestions for improvement
Fitbit,Weekly,4,Customer Support,3,Unexplained data collection,Security,Not Sure,No,"No, never",No comments
Slack,Weekly,2,Speed/Performance,5,Inconsistent behavior across devices,User Interface,Not Sure,Not Sure,"Yes, regularly",No comments
Spotify,Weekly,3,Features,2,Unexplained data collection,Customer Support,Not Sure,Yes,"No, never",No comments
Netflix,Rarely,5,Features,4,Frequent crashes or slow performance,Security,Not Sure,Not Sure,"No, never",No comments
Signal,Never,2,Design/UI,5,Unexplained data collection,User Interface,Yes,Yes,"Yes, occasionally",No comments
MyFitnessPal,Never,5,Design/UI,2,Suspicious permissions request,User Interface,Not Sure,Yes,"Yes, occasionally",No comments
Slack,Daily,4,Features,1,Suspicious permissions request,Security,Not Sure,Not Sure,"No, never",No comments
Spotify,Rarely,4,Ease of use,1,Inconsistent behavior across devices,Security,No,Yes,"No, never",No comments
Coursera,Rarely,5,Ease of use,2,Suspicious permissions request,Security,No,Not Sure,"No, never",No comments
Snapchat,Rarely,2,Features,1,Suspicious permissions request,Bug Fixes,Yes,Not Sure,"Yes, regularly",No comments
Facebook Messenger,Weekly,5,Design/UI,1,None,Security,Yes,Not Sure,"Yes, occasionally",No comments
Google Docs,Never,4,Speed/Performance,2,None,Speed/Performance,Not Sure,Yes,"No, never",No comments
The New York Times,Monthly,4,Speed/Performance,1,None,Bug Fixes,Not Sure,No,"No, never",No comments
Signal,Monthly,3,Customer Support,2,None,Security,No,Not Sure,"Yes, occasionally",No comments
Signal,Daily,4,Customer Support,1,Unexplained data collection,User Interface,No,Not Sure,"Yes, regularly",No comments
Signal,Never,2,Customer Support,4,Unexplained data collection,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
YouTube,Daily,5,Customer Support,5,Frequent crashes or slow performance,Features,Not Sure,Yes,"Yes, regularly",No comments
Calm,Never,1,Ease of use,3,Suspicious permissions request,Security,No,Not Sure,"No, never",No comments
PUBG Mobile,Monthly,5,Speed/Performance,1,Inconsistent behavior across devices,Bug Fixes,No,Yes,"No, never",No comments
Signal,Daily,4,Ease of use,3,Inconsistent behavior across devices,Bug Fixes,No,No,"Yes, regularly",Suggestions for improvement
Fitbit,Never,2,Ease of use,4,Unexplained data collection,Security,No,Not Sure,"Yes, occasionally",No comments
Facebook Messenger,Daily,1,Features,4,Unexplained data collection,Features,No,Yes,"No, never",No comments
Pinterest,Never,4,Speed/Performance,5,Frequent crashes or slow performance,Speed/Performance,No,Yes,"No, never",No comments
The New York Times,Weekly,5,Ease of use,3,Inconsistent behavior across devices,Speed/Performance,No,Yes,"Yes, occasionally",Suggestions for improvement
Snapchat,Monthly,2,Speed/Performance,5,None,Speed/Performance,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Facebook,Rarely,4,Speed/Performance,3,Unexplained data collection,Features,Not Sure,No,"No, never",Suggestions for improvement
Candy Crush Saga,Monthly,2,Speed/Performance,2,Frequent crashes or slow performance,Security,Not Sure,No,"Yes, occasionally",No comments
Headspace,Daily,2,Features,4,None,User Interface,Yes,Yes,"No, never",No comments
Google News,Never,3,Ease of use,3,None,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
Fortnite,Never,2,Customer Support,1,Unexplained data collection,Customer Support,Not Sure,No,"No, never",No comments
Microsoft Word,Never,5,Customer Support,3,Inconsistent behavior across devices,User Interface,Yes,Yes,"Yes, regularly",No comments
Calm,Rarely,3,Customer Support,3,Frequent crashes or slow performance,Bug Fixes,No,Yes,"Yes, regularly",No comments
BBC News,Weekly,1,Customer Support,4,Inconsistent behavior across devices,Customer Support,No,Yes,"Yes, regularly",No comments
Quizlet,Rarely,2,Features,4,None,Features,Yes,No,"Yes, regularly",No comments
Microsoft Word,Daily,3,Customer Support,3,None,Speed/Performance,Not Sure,No,"Yes, regularly",No comments
Skype,Rarely,2,Design/UI,5,Unexplained data collection,Security,No,Not Sure,"No, never",No comments
Snapchat,Never,5,Design/UI,1,Inconsistent behavior across devices,Bug Fixes,Yes,Not Sure,"Yes, regularly",No comments
Skype,Rarely,5,Speed/Performance,5,Frequent crashes or slow performance,Speed/Performance,Not Sure,Not Sure,"Yes, regularly",No comments
Headspace,Daily,2,Features,5,Suspicious permissions request,Bug Fixes,No,Not Sure,"No, never",No comments
Telegram,Never,3,Speed/Performance,5,None,User Interface,Yes,Yes,"No, never",No comments
Coursera,Weekly,1,Ease of use,1,Inconsistent behavior across devices,Speed/Performance,Not Sure,No,"No, never",No comments
The New York Times,Rarely,4,Customer Support,5,Inconsistent behavior across devices,Features,Yes,No,"Yes, occasionally",No comments
Snapchat,Daily,2,Features,2,Unexplained data collection,Features,Not Sure,No,"Yes, occasionally",No comments
Facebook Messenger,Rarely,5,Features,5,Unexplained data collection,Features,Yes,No,"Yes, occasionally",Suggestions for improvement
Khan Academy,Never,4,Speed/Performance,3,Frequent crashes or slow performance,Features,Not Sure,Yes,"Yes, occasionally",No comments
Flipboard,Rarely,5,Speed/Performance,4,Unexplained data collection,Security,No,Yes,"No, never",No comments
Slack,Monthly,4,Ease of use,5,None,Speed/Performance,No,No,"No, never",Suggestions for improvement
YouTube,Never,4,Speed/Performance,4,Unexplained data collection,Speed/Performance,Yes,Yes,"No, never",Suggestions for improvement
Strava,Daily,4,Customer Support,3,Unexplained data collection,Security,Yes,No,"No, never",No comments
Fortnite,Never,4,Speed/Performance,1,Frequent crashes or slow performance,Features,No,Not Sure,"Yes, regularly",Suggestions for improvement
Signal,Never,1,Customer Support,4,None,Customer Support,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
The New York Times,Rarely,4,Design/UI,1,Frequent crashes or slow performance,Customer Support,No,No,"Yes, occasionally",No comments
Calm,Weekly,1,Customer Support,5,Inconsistent behavior across devices,Features,Yes,Not Sure,"Yes, occasionally",No comments
Telegram,Rarely,5,Features,5,Suspicious permissions request,Bug Fixes,Not Sure,No,"No, never",No comments
Microsoft Word,Weekly,3,Design/UI,1,Unexplained data collection,Features,Yes,Not Sure,"Yes, regularly",No comments
Among Us,Monthly,3,Design/UI,2,None,Bug Fixes,Yes,Not Sure,"Yes, regularly",No comments
Duolingo,Rarely,1,Speed/Performance,1,Inconsistent behavior across devices,Security,No,No,"Yes, regularly",No comments
Signal,Weekly,2,Speed/Performance,2,Inconsistent behavior across devices,Features,No,No,"Yes, occasionally",No comments
Skype,Weekly,4,Customer Support,4,Unexplained data collection,Speed/Performance,Not Sure,Yes,"Yes, occasionally",No comments
Facebook Messenger,Monthly,3,Ease of use,1,Inconsistent behavior across devices,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Netflix,Never,5,Ease of use,4,Inconsistent behavior across devices,Speed/Performance,Yes,Not Sure,"Yes, occasionally",No comments
Google News,Weekly,3,Customer Support,1,None,User Interface,No,Not Sure,"Yes, occasionally",No comments
Headspace,Daily,1,Speed/Performance,1,Unexplained data collection,Bug Fixes,No,Yes,"Yes, occasionally",No comments
Skype,Weekly,4,Speed/Performance,5,Inconsistent behavior across devices,User Interface,Yes,No,"No, never",No comments
Skype,Never,5,Design/UI,4,None,Security,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Netflix,Rarely,4,Design/UI,3,Suspicious permissions request,Security,Not Sure,No,"Yes, regularly",No comments
YouTube,Rarely,2,Features,5,Unexplained data collection,Features,Yes,Not Sure,"Yes, occasionally",No comments
Duolingo,Rarely,5,Ease of use,5,Inconsistent behavior across devices,Customer Support,Not Sure,Not Sure,"No, never",No comments
CNN,Never,5,Ease of use,4,Frequent crashes or slow performance,User Interface,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Flipboard,Rarely,4,Customer Support,2,Frequent crashes or slow performance,Features,No,Yes,"Yes, regularly",No comments
Trello,Weekly,2,Customer Support,2,Inconsistent behavior across devices,Customer Support,No,No,"Yes, occasionally",No comments
Skype,Monthly,3,Speed/Performance,4,None,Customer Support,Yes,No,"No, never",No comments
PUBG Mobile,Rarely,1,Design/UI,5,Suspicious permissions request,Security,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Evernote,Weekly,3,Design/UI,1,Suspicious permissions request,User Interface,No,Yes,"Yes, occasionally",Suggestions for improvement
Fortnite,Never,1,Ease of use,3,Inconsistent behavior across devices,Features,No,Not Sure,"No, never",No comments
Trello,Weekly,2,Ease of use,2,Suspicious permissions request,Security,Yes,Yes,"Yes, occasionally",No comments
Coursera,Daily,1,Customer Support,5,Frequent crashes or slow performance,Customer Support,Yes,Not Sure,"Yes, occasionally",Suggestions for improvement
Netflix,Rarely,4,Speed/Performance,2,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, occasionally",No comments
Facebook Messenger,Weekly,4,Design/UI,3,None,Speed/Performance,No,Yes,"No, never",No comments
Among Us,Never,1,Ease of use,5,Suspicious permissions request,User Interface,No,No,"Yes, regularly",No comments
Calm,Daily,1,Speed/Performance,4,Suspicious permissions request,Features,No,No,"Yes, regularly",No comments
Instagram,Monthly,3,Ease of use,1,Inconsistent behavior across devices,Features,Yes,No,"Yes, regularly",Suggestions for improvement
Duolingo,Daily,5,Design/UI,3,Frequent crashes or slow performance,User Interface,Yes,Yes,"Yes, occasionally",No comments
Strava,Monthly,2,Design/UI,4,Unexplained data collection,Features,No,Not Sure,"Yes, regularly",Suggestions for improvement
Evernote,Monthly,2,Customer Support,4,Suspicious permissions request,Customer Support,No,Not Sure,"Yes, regularly",No comments
Spotify,Rarely,2,Features,1,Unexplained data collection,Security,No,Not Sure,"Yes, regularly",No comments
Twitter,Rarely,4,Speed/Performance,1,Frequent crashes or slow performance,Speed/Performance,Yes,Yes,"Yes, regularly",No comments
Khan Academy,Rarely,1,Speed/Performance,4,Inconsistent behavior across devices,User Interface,Yes,Yes,"Yes, regularly",No comments
Google News,Rarely,5,Speed/Performance,1,Frequent crashes or slow performance,Bug Fixes,Yes,No,"Yes, regularly",No comments
Candy Crush Saga,Daily,3,Customer Support,1,Inconsistent behavior across devices,Bug Fixes,Not Sure,No,"No, never",No comments
Snapchat,Never,1,Customer Support,4,Inconsistent behavior across devices,User Interface,Not Sure,Not Sure,"No, never",No comments
Instagram,Never,5,Ease of use,5,Unexplained data collection,Security,Yes,No,"Yes, occasionally",No comments
Trello,Weekly,2,Customer Support,3,Suspicious permissions request,Speed/Performance,No,Yes,"Yes, occasionally",Suggestions for improvement
Pinterest,Never,1,Speed/Performance,3,Suspicious permissions request,Security,Yes,Yes,"Yes, regularly",No comments
Quizlet,Monthly,5,Ease of use,3,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
Candy Crush Saga,Never,1,Design/UI,5,Unexplained data collection,User Interface,Not Sure,Not Sure,"Yes, regularly",No comments
Instagram,Rarely,4,Features,1,Frequent crashes or slow performance,Features,No,Not Sure,"Yes, occasionally",No comments
Trello,Never,2,Design/UI,2,Inconsistent behavior across devices,Security,Yes,Not Sure,"No, never",No comments
Instagram,Weekly,1,Features,3,Frequent crashes or slow performance,Security,No,No,"Yes, occasionally",No comments
Snapchat,Rarely,2,Customer Support,2,Suspicious permissions request,Speed/Performance,Not Sure,Not Sure,"Yes, occasionally",No comments
Strava,Rarely,3,Design/UI,4,Suspicious permissions request,Bug Fixes,Not Sure,Not Sure,"No, never",No comments
Slack,Daily,5,Ease of use,3,Inconsistent behavior across devices,Bug Fixes,Not Sure,Yes,"Yes, regularly",No comments
Spotify,Monthly,4,Features,4,Frequent crashes or slow performance,Speed/Performance,Not Sure,Yes,"Yes, regularly",No comments
Trello,Daily,1,Ease of use,2,Suspicious permissions request,Features,No,No,"No, never",No comments
Snapchat,Rarely,1,Ease of use,1,Suspicious permissions request,Security,Not Sure,No,"Yes, regularly",No comments
Pinterest,Daily,1,Design/UI,5,Frequent crashes or slow performance,Customer Support,Yes,Not Sure,"No, never",No comments
Duolingo,Weekly,4,Features,5,Frequent crashes or slow performance,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
Evernote,Never,5,Ease of use,3,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",No comments
PUBG Mobile,Never,3,Design/UI,5,Suspicious permissions request,Bug Fixes,Yes,Yes,"Yes, occasionally",No comments
Khan Academy,Weekly,5,Customer Support,4,Suspicious permissions request,Security,Yes,Yes,"Yes, regularly",Suggestions for improvement
BBC News,Daily,5,Speed/Performance,1,Suspicious permissions request,Security,Yes,Yes,"Yes, regularly",Suggestions for improvement
Microsoft Word,Weekly,4,Speed/Performance,5,Frequent crashes or slow performance,Customer Support,No,Not Sure,"Yes, regularly",No comments
Evernote,Never,3,Speed/Performance,4,Suspicious permissions request,Features,No,No,"Yes, regularly",No comments
Clash of Clans,Daily,2,Speed/Performance,3,Suspicious permissions request,User Interface,No,No,"No, never",No comments
Netflix,Daily,1,Ease of use,4,Unexplained data collection,Security,Not Sure,Yes,"No, never",No comments
Duolingo,Rarely,4,Design/UI,1,Inconsistent behavior across devices,Security,No,Yes,"Yes, occasionally",Suggestions for improvement
Among Us,Daily,5,Speed/Performance,2,Frequent crashes or slow performance,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Slack,Never,2,Features,5,None,Customer Support,Yes,Yes,"No, never",Suggestions for improvement
Hulu,Daily,5,Speed/Performance,3,None,User Interface,No,Yes,"Yes, regularly",No comments
Telegram,Rarely,5,Features,5,None,Bug Fixes,Not Sure,Yes,"Yes, regularly",No comments
Slack,Rarely,1,Speed/Performance,2,Suspicious permissions request,Customer Support,No,No,"Yes, occasionally",No comments
Strava,Rarely,2,Ease of use,3,Unexplained data collection,Features,Yes,Yes,"No, never",No comments
Spotify,Weekly,2,Ease of use,1,None,Customer Support,Not Sure,Yes,"No, never",No comments
Twitter,Weekly,5,Features,4,None,Features,Not Sure,Yes,"Yes, regularly",No comments
Instagram,Never,4,Features,4,Inconsistent behavior across devices,Security,Yes,Yes,"Yes, regularly",No comments
Twitter,Daily,1,Design/UI,2,Frequent crashes or slow performance,Customer Support,Not Sure,No,"Yes, regularly",No comments
Google News,Monthly,4,Features,4,Suspicious permissions request,Security,No,Not Sure,"Yes, regularly",No comments
Spotify,Never,2,Customer Support,3,Unexplained data collection,Features,Not Sure,Not Sure,"Yes, occasionally",No comments
YouTube,Rarely,5,Customer Support,4,Unexplained data collection,Customer Support,Yes,Yes,"No, never",No comments
Hulu,Monthly,4,Customer Support,3,Inconsistent behavior across devices,Features,No,Yes,"Yes, occasionally",No comments
Headspace,Daily,2,Features,1,Inconsistent behavior across devices,Customer Support,Not Sure,Yes,"No, never",No comments
Duolingo,Weekly,1,Design/UI,1,Inconsistent behavior across devices,Security,Yes,Yes,"Yes, regularly",No comments
BBC News,Monthly,2,Design/UI,1,Unexplained data collection,Bug Fixes,No,No,"Yes, regularly",No comments
Fitbit,Monthly,1,Features,5,Frequent crashes or slow performance,Security,No,No,"No, never",No comments
CNN,Never,2,Speed/Performance,2,None,Speed/Performance,Not Sure,No,"No, never",Suggestions for improvement
Flipboard,Weekly,2,Ease of use,5,Suspicious permissions request,User Interface,Yes,Not Sure,"Yes, occasionally",No comments
Strava,Weekly,2,Features,2,Inconsistent behavior across devices,Speed/Performance,Not Sure,Not Sure,"No, never",No comments
Spotify,Rarely,1,Customer Support,1,None,Security,Not Sure,Yes,"Yes, occasionally",Suggestions for improvement
Slack,Weekly,5,Design/UI,5,None,User Interface,Not Sure,Yes,"Yes, regularly",No comments
Duolingo,Daily,4,Speed/Performance,1,Unexplained data collection,Security,No,No,"Yes, regularly",Suggestions for improvement
Instagram,Rarely,1,Features,1,Inconsistent behavior across devices,User Interface,Yes,No,"Yes, regularly",No comments
Pinterest,Never,5,Design/UI,3,Inconsistent behavior across devices,Bug Fixes,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Slack,Rarely,2,Customer Support,5,Suspicious permissions request,Speed/Performance,Yes,Not Sure,"Yes, regularly",No comments
MyFitnessPal,Daily,4,Features,1,Inconsistent behavior across devices,User Interface,Yes,Not Sure,"Yes, occasionally",No comments
Candy Crush Saga,Weekly,4,Customer Support,4,None,Security,Not Sure,Not Sure,"No, never",Suggestions for improvement
Twitter,Daily,1,Speed/Performance,4,Suspicious permissions request,Speed/Performance,Yes,Yes,"No, never",No comments
YouTube,Monthly,3,Customer Support,5,Frequent crashes or slow performance,Security,Yes,Not Sure,"Yes, occasionally",No comments
Clash of Clans,Monthly,1,Design/UI,2,None,Security,No,Not Sure,"Yes, occasionally",No comments
Netflix,Daily,4,Features,4,Inconsistent behavior across devices,Features,No,No,"Yes, occasionally",Suggestions for improvement
Headspace,Never,4,Speed/Performance,1,Frequent crashes or slow performance,Speed/Performance,No,Not Sure,"No, never",No comments
Fortnite,Never,4,Customer Support,5,None,Security,Yes,Not Sure,"Yes, regularly",No comments
Clash of Clans,Weekly,1,Customer Support,3,Frequent crashes or slow performance,Features,Yes,No,"Yes, occasionally",No comments
Netflix,Daily,4,Speed/Performance,5,Inconsistent behavior across devices,User Interface,Not Sure,Yes,"No, never",Suggestions for improvement
Quizlet,Daily,1,Speed/Performance,1,Frequent crashes or slow performance,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Strava,Never,1,Ease of use,2,Unexplained data collection,Security,Not Sure,Yes,"No, never",No comments
Slack,Daily,4,Design/UI,1,Unexplained data collection,Features,Yes,Not Sure,"Yes, regularly",No comments
Hulu,Never,3,Design/UI,2,Unexplained data collection,Security,No,Yes,"Yes, occasionally",No comments
Among Us,Never,3,Customer Support,4,Unexplained data collection,Bug Fixes,Yes,No,"No, never",No comments
Netflix,Rarely,1,Design/UI,4,Inconsistent behavior across devices,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
Evernote,Monthly,4,Ease of use,4,Frequent crashes or slow performance,Bug Fixes,No,Yes,"Yes, occasionally",No comments
Candy Crush Saga,Never,2,Ease of use,5,None,Speed/Performance,Not Sure,No,"Yes, occasionally",No comments
Microsoft Word,Never,1,Ease of use,1,None,Bug Fixes,Yes,Not Sure,"Yes, occasionally",No comments
PUBG Mobile,Daily,2,Customer Support,4,Inconsistent behavior across devices,Speed/Performance,Not Sure,Not Sure,"No, never",Suggestions for improvement
Instagram,Daily,4,Features,5,None,Features,Not Sure,Yes,"No, never",No comments
The New York Times,Never,4,Ease of use,1,Inconsistent behavior across devices,Security,Yes,No,"Yes, occasionally",No comments
Fitbit,Never,2,Ease of use,5,Frequent crashes or slow performance,Bug Fixes,Yes,Yes,"Yes, regularly",Suggestions for improvement
YouTube,Never,3,Design/UI,2,Frequent crashes or slow performance,Features,No,Not Sure,"Yes, regularly",No comments
Spotify,Daily,3,Design/UI,1,Unexplained data collection,User Interface,No,No,"Yes, occasionally",No comments
PUBG Mobile,Monthly,4,Features,2,None,Bug Fixes,No,Yes,"Yes, occasionally",No comments
Pinterest,Monthly,3,Customer Support,3,Frequent crashes or slow performance,Security,No,No,"Yes, occasionally",No comments
Headspace,Daily,5,Ease of use,3,None,Features,No,Not Sure,"Yes, occasionally",No comments
Duolingo,Daily,4,Design/UI,1,Suspicious permissions request,Speed/Performance,No,Not Sure,"No, never",No comments
Fitbit,Never,4,Speed/Performance,3,Frequent crashes or slow performance,User Interface,Yes,No,"Yes, regularly",No comments
Telegram,Never,3,Customer Support,4,Suspicious permissions request,Security,Yes,Not Sure,"Yes, occasionally",No comments
WhatsApp,Monthly,1,Features,2,Frequent crashes or slow performance,Security,Yes,Not Sure,"Yes, occasionally",No comments
WhatsApp,Monthly,4,Design/UI,4,Suspicious permissions request,Customer Support,No,No,"No, never",Suggestions for improvement
Fortnite,Monthly,3,Ease of use,1,Frequent crashes or slow performance,Customer Support,No,Yes,"No, never",No comments
Snapchat,Rarely,4,Speed/Performance,5,Inconsistent behavior across devices,Speed/Performance,Not Sure,Not Sure,"Yes, occasionally",No comments
Fitbit,Monthly,3,Ease of use,1,Frequent crashes or slow performance,Bug Fixes,No,No,"Yes, regularly",No comments
YouTube,Rarely,1,Features,5,Inconsistent behavior across devices,Customer Support,Not Sure,No,"Yes, regularly",No comments
Fitbit,Monthly,3,Ease of use,4,Suspicious permissions request,Speed/Performance,Yes,No,"No, never",No comments
Duolingo,Rarely,1,Customer Support,2,Unexplained data collection,Customer Support,Not Sure,Not Sure,"Yes, regularly",No comments
Calm,Daily,4,Features,1,Unexplained data collection,User Interface,Yes,Not Sure,"No, never",Suggestions for improvement
Fitbit,Never,4,Customer Support,1,None,Bug Fixes,Yes,No,"Yes, occasionally",Suggestions for improvement
Coursera,Rarely,2,Customer Support,3,None,Speed/Performance,Not Sure,No,"Yes, regularly",No comments
MyFitnessPal,Never,1,Customer Support,2,None,Speed/Performance,Yes,Not Sure,"Yes, occasionally",No comments
Skype,Rarely,1,Speed/Performance,1,Inconsistent behavior across devices,Speed/Performance,No,Not Sure,"No, never",No comments
Signal,Weekly,4,Design/UI,4,None,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",No comments
Hulu,Daily,4,Speed/Performance,3,Unexplained data collection,Security,Yes,Not Sure,"Yes, regularly",No comments
Google News,Daily,3,Speed/Performance,4,Inconsistent behavior across devices,Bug Fixes,Yes,No,"Yes, regularly",Suggestions for improvement
Candy Crush Saga,Never,4,Customer Support,1,Inconsistent behavior across devices,Speed/Performance,Not Sure,No,"No, never",No comments
YouTube,Weekly,5,Features,3,Suspicious permissions request,Speed/Performance,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Google Docs,Monthly,5,Customer Support,2,Suspicious permissions request,Bug Fixes,Not Sure,Yes,"Yes, regularly",No comments
Among Us,Weekly,5,Customer Support,4,Unexplained data collection,Speed/Performance,Yes,Not Sure,"Yes, occasionally",No comments
Pinterest,Weekly,3,Speed/Performance,2,Unexplained data collection,Speed/Performance,No,Yes,"Yes, occasionally",No comments
WhatsApp,Monthly,1,Customer Support,3,Inconsistent behavior across devices,User Interface,No,Not Sure,"No, never",No comments
Skype,Monthly,5,Design/UI,2,Suspicious permissions request,Features,Not Sure,No,"No, never",No comments
Skype,Never,4,Design/UI,4,None,User Interface,Yes,No,"No, never",No comments
Headspace,Rarely,4,Ease of use,3,Frequent crashes or slow performance,Security,Not Sure,Yes,"Yes, regularly",No comments
Fitbit,Rarely,4,Features,5,None,Customer Support,Yes,Yes,"No, never",No comments
The New York Times,Never,3,Customer Support,1,Inconsistent behavior across devices,Speed/Performance,Not Sure,Not Sure,"No, never",No comments
Coursera,Rarely,5,Ease of use,5,Frequent crashes or slow performance,Security,Yes,No,"Yes, regularly",No comments
PUBG Mobile,Monthly,3,Ease of use,2,None,Security,Not Sure,No,"No, never",Suggestions for improvement
Coursera,Daily,4,Ease of use,2,Suspicious permissions request,User Interface,Yes,No,"Yes, regularly",No comments
Duolingo,Rarely,1,Ease of use,1,Frequent crashes or slow performance,Speed/Performance,Yes,Yes,"No, never",No comments
Netflix,Weekly,1,Features,4,None,Customer Support,No,Yes,"Yes, regularly",Suggestions for improvement
WhatsApp,Weekly,3,Features,1,None,Features,No,No,"Yes, occasionally",No comments
Clash of Clans,Rarely,1,Speed/Performance,3,Suspicious permissions request,User Interface,Not Sure,No,"Yes, regularly",No comments
Khan Academy,Never,3,Features,5,Frequent crashes or slow performance,Bug Fixes,Yes,Not Sure,"No, never",No comments
Signal,Monthly,2,Design/UI,1,Suspicious permissions request,Security,No,Not Sure,"Yes, regularly",No comments
Netflix,Monthly,2,Speed/Performance,3,Inconsistent behavior across devices,Bug Fixes,Yes,Not Sure,"Yes, regularly",No comments
Duolingo,Weekly,1,Design/UI,2,Unexplained data collection,Speed/Performance,No,Yes,"Yes, occasionally",No comments
Khan Academy,Never,2,Design/UI,4,Inconsistent behavior across devices,Security,Not Sure,Yes,"Yes, regularly",No comments
Trello,Weekly,4,Design/UI,2,Unexplained data collection,Speed/Performance,No,Yes,"Yes, regularly",No comments
Google Docs,Daily,2,Customer Support,4,None,User Interface,Not Sure,Yes,"No, never",No comments
